ID;Claim;Ground Truth;Predicted;Justification;auto_category;auto_grounding_rate;manual_category;Notizen;Ground-Truh Quellen
MM002;Measles vaccine virus is grown in aborted fetal cells.;MISLEADING;NOT_ENOUGH_EVIDENCE;The retrieved evidence does not mention the use of aborted fetal cells in measles vaccine production. The articles describe the vaccine's development using human and chicken cells but do not specify the origin of these cells (e.g., fetal vs. other sources). The claim introduces a specific detail (aborted fetal cells) not addressed in the provided evidence, leaving insufficient information to confirm or refute it.;major_hallucination;25,0%;FREE;Vorsichtige Zurückhaltung bei spezifischen Details zur Zelllinien-Herkunft. Modell hätte mehr sagen können (siehe R57), aber Zurückhaltung ist legitim.;https://www.chop.edu/vaccine-education-center/vaccine-safety/vaccine-ingredients/fetal-tissues
MM009;People vaccinated with MMR cannot spread measles at all.;MISLEADING;NOT_ENOUGH_EVIDENCE;The retrieved evidence focuses on the effectiveness of MMR in preventing measles, mumps, and rubella, its safety profile, and administration guidelines. None of the sources address whether vaccinated individuals can transmit measles. The claim about transmission is not directly supported or refuted by the provided information.;major_hallucination;0,0%;FREE;Korrekte Beobachtung dass die Belege die Transmission durch Geimpfte nicht direkt adressieren.;https://www.cdc.gov/measles/hcp/clinical-overview/questions.html
MM012;Antibiotics are needed to cure measles infections.;MISLEADING;MISLEADING;While antibiotics are used to treat secondary bacterial infections that may occur as a complication of measles, the claim that antibiotics are needed to cure measles infections is misleading. Measles is caused by a virus and not bacteria, so antibiotics are not effective against it.;major_hallucination;50,0%;FREE;Korrekte medizinische Erklärung dass Antibiotika nur gegen Sekundärinfektionen wirken, nicht gegen das Virus selbst.;https://www.cdc.gov/measles/media/pdfs/2025/05/hcp-caring-for-patients-measles-fact-sheet.pdf
MM018;Natural measles infection improves overall immune health more than vaccination does.;MISLEADING;MISLEADING;The evidence does not compare immune health outcomes between natural measles infection and vaccination. While vaccination is shown to reduce disease severity and transmission (CDC evidence), there is no data supporting that natural infection provides superior immune benefits. The claim conflates disease prevention with immune health improvement, which is not addressed in the provided sources.;major_hallucination;0,0%;FREE;Korrekte Beobachtung dass die Belege Immunoutcomes nicht direkt vergleichen.;https://www.nfid.org/resource/frequently-asked-questions-about-measles/
MM022;Measles antibody tests aren't reliable, so vaccination history is irrelevant.;MISLEADING;MISLEADING;The claim suggests that measles antibody tests aren't reliable and vaccination history is irrelevant. However, the provided evidence shows that immunity to measles is correlated with levels of neutralizing antibodies (evidence 2) and that people who received live measles vaccine in the 1960s do not need to be revaccinated (evidence 3). This implies that the presence of measles antibodies can indicate immunity, contradicting the claim. The claim is misleading because it oversimplifies the complex relationship between measles antibody tests, vaccination history, and immunity.;major_hallucination;25,0%;FREE;Argumentation logisch nachvollziehbar, keine erfundenen Zahlen oder Quellen.;https://www.cdc.gov/measles/hcp/clinical-overview/questions.html
MM034;Measles is mild today because modern treatments exist, so vaccination is optional.;MISLEADING;REFUTED;"The evidence shows that measles can still cause severe illness and outbreaks even with vaccination (e.g., 2-5% of vaccinated individuals remain unprotected, and 1 million deaths occur annually). While vaccinated individuals may experience milder symptoms, the claim incorrectly attributes measles' ""mildness"" to modern treatments rather than vaccination. The CDC and PubMed sources emphasize that vaccination is critical to prevent outbreaks and deaths, making the assertion that vaccination is optional misleading.";major_hallucination;0,0%;FREE;Genannte Zahlen zu Impfschutz und Sterblichkeit entsprechen der etablierten Epidemiologie.;https://www.nfid.org/resource/frequently-asked-questions-about-measles/
MM038;Improving sanitation alone caused measles cases to drop drastically before vaccines.;MISLEADING;MISLEADING;While improved sanitation can contribute to a decrease in some infectious diseases, the evidence provided does not support the claim that it alone caused measles cases to drop drastically before vaccines. The articles [2], [3], and [5] all emphasize the importance of vaccination in controlling and eliminating measles, while [4] highlights the high infection rate among non-immune individuals close to a person with measles.;minor_hallucination;0,0%;FREE;Argumentation zur Wichtigkeit der Impfung im Vergleich zu reiner Hygiene ist korrekt.;https://www.cdc.gov/measles/downloads/measlesdataandstatsslideset.pdf
MM045;"Because measles is an old disease, new vaccines aren't necessary; traditional exposure works better.";MISLEADING;REFUTED;The provided evidence clearly states that measles vaccines have been effective in preventing millions of deaths, particularly in developing countries ([1], [5]). It also mentions that widespread use of standard vaccines in the West has resulted in dramatic reductions in measles incidence but has not prevented outbreaks among the unvaccinated or under-vaccinated population ([2], [3]). This contradicts the claim that traditional exposure works better than new vaccines.;major_hallucination;0,0%;FREE;Argumentation zur Vakzin-Wirksamkeit ist nachvollziehbar und entspricht dem Konsens.;https://www.cdc.gov/measles/downloads/measlesdataandstatsslideset.pdf
MM049;Complications from measles are so rare that no extra medical attention is needed beyond rest.;MISLEADING;REFUTED;The provided evidence indicates that measles is a serious disease affecting people of all ages (ECDC) and can lead to complications such as pneumonia, encephalitis, and death (PubMed). Furthermore, the CDC states that up to 90% of non-immune individuals close to an infected person will also contract measles. This suggests that complications from measles are not rare and may require more than just rest for management.;minor_hallucination;66,7%;FREE;Die 90%-Zahl zur Ansteckungswahrscheinlichkeit ist eine etablierte epidemiologische Statistik.;https://www.nfid.org/resource/frequently-asked-questions-about-measles/
MR004;The MMR vaccine includes aborted fetal tissue cells from recent abortions.;REFUTED;REFUTED;The retrieved evidence from CDC and PubMed does not mention aborted fetal tissue in the MMR vaccine. The MMR vaccine is produced using live attenuated viruses grown in chick embryo cell cultures, not human fetal cells. Claims about fetal tissue are misleading, as the vaccine's ingredients are well-documented and do not include materials from abortions.;minor_hallucination;0,0%;MAJOR;Modell verneint kategorisch dass MMR fötale Zellen enthält. Die Rubella-Komponente nutzt aber tatsächlich fötal-stämmige Zelllinien aus den 1960ern.;https://www.chop.edu/vaccine-education-center/vaccine-safety/vaccine-ingredients/fetal-tissues
MR006;Reports of adverse events in VAERS mean those events were caused by the vaccine.;REFUTED;MISLEADING;The claim suggests that reports of adverse events in VAERS mean those events were caused by the vaccine. However, the provided evidence shows that while some vaccinated people may still experience side effects or even the diseases themselves if exposed, these cases are usually milder and less contagious compared to unvaccinated individuals ([1], [3]). The evidence does not support the claim that reports of adverse events in VAERS necessarily mean they were caused by the vaccine.;minor_hallucination;66,7%;FREE;Korrekte Argumentation zur Unterscheidung zwischen VAERS-Meldung und Kausalität.;https://www.cdc.gov/vaccine-safety-systems/vaers/
MR006;Reports of adverse events in VAERS mean those events were caused by the vaccine.;REFUTED;REFUTED;The provided evidence indicates that while some vaccinated individuals may still contract measles, mumps, or rubella if exposed to the viruses, their symptoms are generally milder compared to unvaccinated individuals (evidence 2-3). Furthermore, several epidemiologic studies have not found an association between MMR vaccination and autism (evidence 4). Therefore, it is refuted that reports of adverse events in VAERS mean those events were caused by the vaccine.;minor_hallucination;0,0%;MINOR;Argumentation greift Autismus-Studien für VAERS-Argument auf, was thematisch nicht direkt passt.;https://www.cdc.gov/vaccine-safety-systems/vaers/
MR006;Reports of adverse events in VAERS mean those events were caused by the vaccine.;REFUTED;MISLEADING;The claim suggests that reports of adverse events in VAERS mean the vaccine caused those events. However, the provided evidence shows that while some vaccinated people may still get measles, mumps, or rubella if exposed to the viruses, their symptoms are generally milder compared to unvaccinated individuals ([2], [3]). The evidence does not support the claim that reports of adverse events in VAERS mean the vaccine caused those events.;minor_hallucination;33,3%;FREE;Argumentation zu milderen Symptomen bei Geimpften ist plausibel.;https://www.cdc.gov/vaccine-safety-systems/vaers/
MR006;Reports of adverse events in VAERS mean those events were caused by the vaccine.;REFUTED;NOT_ENOUGH_EVIDENCE;The retrieved evidence does not address VAERS or causality between adverse events and vaccines. VAERS is a reporting system, not a causation determinant. The provided information focuses on vaccine safety, side effects, and disease prevention but lacks direct analysis of VAERS data or mechanisms linking reports to vaccine causation. Thus, the claim cannot be confirmed or refuted based on the evidence.;minor_hallucination;0,0%;FREE;Korrekte Aussage zum VAERS-System – es ist ein Meldesystem, kein Kausalitätsnachweis.;"https://www.cdc.gov/vaccine-safety-systems/vaers/
https://publichealth.jhu.edu/2022/what-vaers-is-and-isnt"
MR007;Infants should not get the measles vaccine because their immune systems are too weak.;REFUTED;REFUTED;"The evidence shows that measles vaccines are recommended for infants despite their immature immune systems. Studies mention that vaccines are administered at 9 months (evidence [1][2]) and that safety profiles are well-documented (evidence [3]). The claim that infants ""should not"" get the vaccine is contradicted by the consensus that vaccination is critical for preventing measles, which remains a significant threat to young children.";minor_hallucination;0,0%;FREE;Information zur Impfung mit 9 Monaten ist eine etablierte WHO-Empfehlung für endemische Regionen.;"https://www.cdc.gov/vaccines/hcp/imz-best-practices/contraindications-precautions.html?CDC_AAref_Val=https://www.cdc.gov/vaccines/hcp/acip-recs/general-recs/contraindications.html
https://www.cdc.gov/measles/hcp/vaccine-considerations/index.html"
MR009;Unvaccinated people are always healthier than vaccinated ones.;REFUTED;MISLEADING;The claim that unvaccinated people are always healthier than vaccinated ones is misleading. While it's true that some vaccinated individuals may still contract measles, mumps, or rubella if exposed to the viruses (evidence [1]), their symptoms are generally milder (evidence [1]) and they are less likely to spread the disease to others (evidence [2]). Furthermore, evidence [3] suggests that measles in persons with secondary vaccination failure may be less infectious than cases in unvaccinated persons. Additionally, evidence [4] highlights the dramatic reduction in measles occurrence due to immunization and the need for improved control to prevent ongoing deaths. Evidence [5] also emphasizes the importance of vaccines in preventing these diseases. Therefore, it is incorrect to assert that unvaccinated people are healthier than vaccinated ones.;minor_hallucination;16,7%;FREE;Argumentation zur Wirksamkeit von Impfungen ist plausibel und entspricht dem Forschungsstand.;https://www.cdc.gov/measles/hcp/clinical-overview/index.html
MR009;Unvaccinated people are always healthier than vaccinated ones.;REFUTED;REFUTED;The provided evidence indicates that vaccinated individuals are less likely to develop severe symptoms and are less infectious compared to unvaccinated people. This contradicts the claim that unvaccinated people are always healthier than vaccinated ones. Furthermore, vaccines have significantly reduced the occurrence of measles, mumps, and rubella in the United States (evidence 2, 4).;minor_hallucination;0,0%;FREE;Argumentation zur Krankheitsreduktion durch Impfung ist nachvollziehbar.;https://www.cdc.gov/measles/hcp/clinical-overview/index.html
MR010;People with HIV or other immunodeficiencies can safely receive live measles vaccine.;REFUTED;SUPPORTED;The provided evidence, particularly from PubMed articles [1], [4], and [5], discusses the development, safety, and efficacy of the live attenuated measles vaccine. These sources suggest that the vaccine is suitable for large-scale immunization in measles pre-immune populations, including people with HIV or other immunodeficiencies, as it has been proven to be highly effective and well-tolerated.;minor_hallucination;0,0%;MAJOR;Modell behauptet dass HIV-Patienten und immunsupprimierte Personen den Lebendimpfstoff sicher bekommen können. Das ist medizinisch falsch und kann gefährlich sein.;https://www.cdc.gov/vaccines/hcp/imz-best-practices/contraindications-precautions.html?CDC_AAref_Val=https://www.cdc.gov/vaccines/hcp/acip-recs/general-recs/contraindications.html
MR011;The MMR vaccine is given intravenously to reach the bloodstream quickly.;REFUTED;REFUTED;The provided evidence does not mention that the MMR vaccine is given intravenously. Instead, it states that the MMR vaccine is administered through a shot (not intravenously) and can be given at the same time as other vaccines.;minor_hallucination;0,0%;FREE;Modell stellt korrekt klar dass MMR per Spritze verabreicht wird, nicht intravenös.;https://www.cdc.gov/pinkbook/hcp/table-of-contents/chapter-13-measles.html
MR011;The MMR vaccine is given intravenously to reach the bloodstream quickly.;REFUTED;NOT_ENOUGH_EVIDENCE;None of the retrieved CDC sources mention the route of administration (e.g., intravenous, subcutaneous, etc.) for the MMR vaccine. The evidence focuses on safety, timing of administration post-exposure, contraindications, and efficacy, but does not address how the vaccine is delivered. The claim about intravenous administration is neither confirmed nor refuted by the provided information.;minor_hallucination;0,0%;FREE;Korrekte Selbstauskunft dass die Belege die Verabreichungsroute nicht erwähnen.;https://www.cdc.gov/pinkbook/hcp/table-of-contents/chapter-13-measles.html
MR011;The MMR vaccine is given intravenously to reach the bloodstream quickly.;REFUTED;NOT_ENOUGH_EVIDENCE;The retrieved evidence from CDC does not mention the route of administration for the MMR vaccine. All documents focus on safety, efficacy, contraindications, and timing of vaccination, but none describe whether the vaccine is administered intravenously or another method. The claim about intravenous delivery is neither confirmed nor refuted by the provided information.;minor_hallucination;0,0%;FREE;Korrekte Selbstauskunft dass die Belege die Verabreichungsroute nicht erwähnen.;https://www.cdc.gov/pinkbook/hcp/table-of-contents/chapter-13-measles.html
