ID;Claim;Topic;Label;Difficulty;Source_URL;Evidence_Sentence
MS001;Measles can remain in an airspace for up to 2 hours after an infected person leaves.;Transmission;SUPPORTED;Easy;https://www.cdc.gov/measles/vaccines/index.html;Measles can remain in an airspace for up to 2 hours after an infected person leaves.
MS002;People can become infected if they breathe contaminated air or touch a contaminated surface and then touch their eyes, nose, or mouth.;Transmission;SUPPORTED;Medium;https://www.cdc.gov/measles/causes/index.html;If people breathe contaminated air or touch an infected surface and then touch eyes, noses, or mouths, they can become infected.
MS003;"Measles spreads only from person to person; animals do not get or spread measles.";Transmission;SUPPORTED;Easy;https://www.cdc.gov/measles/causes/index.html;"Measles spreads only from person to person; animals do not get or spread measles."
MS004;A person with measles can spread it from 4 days before through 4 days after the rash appears.;Transmission;SUPPORTED;Easy;https://www.cdc.gov/measles/causes/index.html;You can spread measles from 4 days before until 4 days after the rash appears.
MS005;Measles is transmitted person-to-person via respiratory droplets produced when sick people cough and sneeze.;Transmission;SUPPORTED;Easy;https://www.ecdc.europa.eu/en/measles/facts;The virus spreads person-to-person via respiratory droplets produced when sick people cough and sneeze.
MS006;On contaminated surfaces, measles virus can remain infectious for up to two hours.;Transmission;SUPPORTED;Medium;https://www.ecdc.europa.eu/en/measles/facts;The virus can stay infectious on contaminated surfaces for up to two hours.
MS007;Measles is most contagious during the prodromal phase (about 2–4 days) marked by intense coughing.;Transmission;SUPPORTED;Medium;https://www.ecdc.europa.eu/en/measles/facts;Measles is most contagious during the prodromal phase (2–4 days) and is marked by intense coughing.
MS008;Measles exposure in utero can cause congenital measles infection with a febrile rash syndrome within 10 days of birth.;Transmission;SUPPORTED;Hard;https://www.cdc.gov/measles/hcp/clinical-overview/index.html;Measles exposure in utero can lead to congenital measles with a febrile rash syndrome within 10 days of birth.
MS009;Measles symptoms typically appear 7 to 14 days after contact with the virus.;Symptoms;SUPPORTED;Easy;https://www.cdc.gov/measles/signs-symptoms/index.html;Measles symptoms appear about 7 to 14 days after contact with the virus.
MS010;In measles, the prodrome follows a 10–12-day incubation and includes fever, conjunctivitis, coryza, cough and bronchiolitis.;Symptoms;SUPPORTED;Hard;https://www.ecdc.europa.eu/en/measles/facts;After a 10–12-day incubation, the prodrome includes fever, conjunctivitis, coryza, cough and bronchiolitis.
